Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
SUJAF,ISHARES IV JPN MSCI ETF,Pink Current,6.460800,,0,ETFs,Ireland,
SULMF,SULLIDEN MNG CAP INC,Pink Current,0.018900,,0,Foreign Ordinary Shares,,
SULZF,SULZER AG WINTERTHUR SHS,Pink Limited,86.570000,,0,Foreign Ordinary Shares,Switzerland,
SUMCF,SUMCO CORP ORD,Pink Limited,14.700000,4.925100,31800,Foreign Ordinary Shares,Japan,
SUME,SUMMER ENERGY HLDGS INC,OTCQB,0.850000,-10.516900,14540,Common Stock,USA,Texas
SUMXF,SUPREMEX INC,Pink Current,4.700000,,100,Foreign Ordinary Shares,Canada,Quebec
SUND,SUNDANCE STRATEGIES INC,OTCQB,0.300000,,0,Common Stock,USA,Utah
SUNFF,SUN LFE FNCL PFD A SER 8R,Pink Current,12.240030,,0,Preferred Stock,Canada,Ontario
SUNPF,SUN PEAK METALS CORP,OTCQB,0.154300,,0,Foreign Ordinary Shares,Canada,British Columbia
SUNTF,SUNCORP TECHS LTD NEW,Pink Current,0.060000,,0,Foreign Ordinary Shares,China,
SUNYF,SUNSHINE OILSANDS LTD NEW,Pink Current,0.085800,1.658800,200,Foreign Ordinary Shares,,
SUOPY,SUMCO CORP ADR,Pink Limited,29.500000,3.800100,48970,ADRs,Japan,
SUOXF,SUOXINDA HOLDINGS LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
SUPBF,SUPERBAG CO LTD,Pink Limited,7.270000,,0,Foreign Ordinary Shares,Japan,
SUPCF,SUPALAI PCL NVDR,Pink Limited,0.480000,,0,Foreign Ordinary Shares,,
SUPIF,SUPERMARKET INCOME REIT,Pink Current,1.100000,,0,Foreign Ordinary Shares,United Kingdom,England
SURDF,SUMITOMO RLTY&DEV CO LTD,Pink Limited,26.395000,,0,Foreign Ordinary Shares,Japan,
SURNF,SURENANO SCIENCE LTD,OTCQB,0.000000,,0,Foreign Ordinary Shares,Canada,British Columbia
SURRF,SUN ART RETAIL GP LTD ORD,Pink Current,0.421900,,0,Foreign Ordinary Shares,China,
SURRY,SUN ART RETAIL UNSP/ADR,Pink Current,2.485500,,2,ADRs,China,
SURVF,SUNTEC RL EST INVT TR UTS,Pink Current,0.921000,,0,Fund,Singapore,
SURYY,SUMITOMO RLTY UNSP/ADR,Pink Limited,11.680000,,0,ADRs,Japan,
SUSMF,ISHARES IV PLC SUST ETF,Pink Current,6.877500,,0,ETFs,Ireland,
SUSRF,SURGICAL SCINCE SWEDN NEW,Pink Limited,14.950000,,0,Foreign Ordinary Shares,,
SUTI,SUTIMCO INTL INC,Pink Current,0.000150,50.000000,9000,Common Stock,USA,Wyoming
SUTNY,SUMITOMO MITSUI TR S/ADR,Pink Current,3.720000,-0.268100,13253,ADRs,Japan,
SUUFF,STRATHMORE PLUS URANIUM,Pink Current,0.444400,7.265300,41071,Foreign Ordinary Shares,Canada,British Columbia
SUUIF,SUPERIOR PLUS CORP,Pink Current,7.020000,-0.580700,602,Foreign Ordinary Shares,Canada,Ontario
SUUNF,SOLARBANK CORP,OTCQX International,5.970000,,0,Foreign Ordinary Shares,Canada,Ontario
SUVPF,SARTORIUS AG PFD W/O,Pink Current,330.750000,-2.720600,2,Preferred Stock,,
SUWTF,SUN WA TECHNOS CORP ORD,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
SVAD,SILVERTON ADVENTURES INC,Pink Current,0.000400,,0,Common Stock,Hong Kong,
SVAUF,STORAGEVAULT CANADA INC,Pink Current,4.360000,1.160100,1275,Foreign Ordinary Shares,Canada,Alberta
SVBL,SILVER BULL RESOURCES NEW,OTCQB,0.120100,0.083300,8620,Foreign Ordinary Shares,Canada,British Columbia
SVBRF,SILVER BEAR RES PLC,Pink Current,0.003000,,0,Foreign Ordinary Shares,Canada,Ontario
SVBT,SVB&T CORP,OTCQX U.S.,37.200000,0.134600,200,Common Stock,USA,Indiana
SVCBF,SVENSKA CELLULOS AB SHS,Pink Limited,13.020000,,18,Foreign Ordinary Shares,Sweden,
SVCTF,SUNVEST CAPITAL INC,Pink Current,239.855000,,0,Foreign Ordinary Shares,Canada,Quebec
SVGAF,SILVER GRAIL RES LTD ORD,Pink Current,0.150000,,0,Foreign Ordinary Shares,Canada,British Columbia
SVIN,SCHEID VINEYARDS INC A,Pink Current,15.100000,,5,Common Stock,USA,California
SVKEF,SKANDINAVISKA ENSK ORD,Pink Limited,10.897700,,61,Foreign Ordinary Shares,Sweden,
SVLKF,SILVER LAKE RES LTD ORD,Pink Current,0.707935,,0,Foreign Ordinary Shares,Australia,Western Australia
SVLLY,SAVILLS PLC UNSP/ADR,Pink Current,0.000000,,0,ADRs,United Kingdom,England
SVLPF,SAVILLS PLC ORD,Pink Current,10.710100,,0,Foreign Ordinary Shares,United Kingdom,England
SVLT,SUNVAULT ENERGY INC,Pink Current,0.016900,0.000000,3600,Common Stock,USA,California
SVMB,SAVMOBI TECH INC,Pink Current,3.130000,,95,Common Stock,China,
SVMFF,SILVER VY METALS CORP,OTCQB,0.109000,3.024600,28342,Foreign Ordinary Shares,Canada,British Columbia
SVMLF,SOVEREIGN METALS LTD,Pink Current,0.290000,,0,Foreign Ordinary Shares,,
SVMRF,SEVAN MARINE AS ORD,Pink Limited,2.090000,,0,Foreign Ordinary Shares,Norway,
SVNBY,SEVEN BANK LTD UNSP/ADR,Pink Limited,19.970000,,0,ADRs,Japan,
SVNDF,SEVEN & I HLDGS CO LTD,Pink Limited,42.490000,-0.561700,200,Foreign Ordinary Shares,Japan,
SVNDY,SEVEN & I HLDGS UNSP/ADR,Pink Limited,21.180000,-0.188500,70294,ADRs,Japan,
SVNLF,SVENSKA HANDELSBANKEN NEW,Pink Limited,8.200000,-2.797400,2792,Foreign Ordinary Shares,Sweden,
SVNLY,SVENSKA HANDELSBK UNS/ADR,Pink Limited,4.100000,-0.966200,141475,ADRs,Sweden,
SVNNF,SAVANNAH ENERGY PLC,Pink Current,0.000200,,0,Foreign Ordinary Shares,,
SVNTF,79NORTH INC,Pink Current,0.010000,,0,Foreign Ordinary Shares,Canada,Ontario
SVPLF,KIN & CARTA PLC,Pink Current,1.861650,,0,Foreign Ordinary Shares,United Kingdom,
SVROF,SILVER PREDATOR CORP,Pink Current,0.069000,,0,Foreign Ordinary Shares,Canada,Ontario
SVSN,STEREO VISION ENTMT INC,Pink Current,0.006200,-34.042600,9820,Common Stock,USA,Nevada
SVTNF,LODESTAR BATTERY METLS CP,OTCQB,0.026850,,0,Foreign Ordinary Shares,Canada,British Columbia
SVTPF,S VENTURES PLC,Pink Limited,0.185000,,0,Foreign Ordinary Shares,United Kingdom,England
SVTRF,SEVERN TRENT PLC,Pink Current,32.740000,,7,Foreign Ordinary Shares,United Kingdom,England
SVUFF,SUN INTERNATIONAL LTD ORD,Pink Current,2.210000,,0,Foreign Ordinary Shares,,
SVVB,SAVI FINANCIAL CORP,Pink Current,6.900000,,0,Common Stock,USA,Washington
SVYSF,SOLVAY SA ACT,OTCQX International Premier,106.781000,,3,Foreign Ordinary Shares,Belgium,
SWDAF,SOFTWARE AG,OTCQX International Premier,37.190000,,0,Foreign Ordinary Shares,Germany,
SWDBF,SWEDBANK AB ORD,Pink Current,16.990000,,48,Foreign Ordinary Shares,Sweden,
SWDBY,SWEDBANK AB S/ADR,Pink Current,16.870000,-0.177500,12967,ADRs,Sweden,
SWDCF,SWEDENCARE AB PUBL AK,Pink Limited,3.450000,,0,Foreign Ordinary Shares,,
SWDHF,SKYWORTH GROUP LTD,Pink Current,0.505500,,0,Foreign Ordinary Shares,China,Hong Kong
SWDHY,SKYWORTH GRP LTD UNSP/ADR,Pink Current,15.160000,,1,ADRs,China,Hong Kong
SWGAF,SWATCH GROUP AG NEW ORD,Pink Limited,290.950000,0.687500,2,Foreign Ordinary Shares,Switzerland,
SWGAY,SWATCH GROUP AG UNSP/ADR,Pink Limited,14.750000,-0.337800,24639,ADRs,Switzerland,
SWGHF,SAWAI GROUP HLDGS CO LTD,Pink Limited,27.000000,,0,Common Stock,,
SWGNF,SWATCH GROUP AG,Pink Limited,53.720000,,3,Foreign Ordinary Shares,Switzerland,
SWISF,SEKUR PRIVATE DATA LTD,OTCQB,0.090300,10.122000,58760,Foreign Ordinary Shares,USA,New York
SWLFF,SILVER WOLF EXPLORATION,OTCQB,0.056400,,0,Foreign Ordinary Shares,Canada,British Columbia
SWMIF,SWARMIO MEDIA HOLDINGS,Pink Current,0.009500,,0,Foreign Ordinary Shares,Canada,British Columbia
SWNAF,SANWA CO LTD,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
SWNLF,EDM RES INC,Pink Current,0.421800,,0,Foreign Ordinary Shares,Canada,British Columbia
SWONF,SOFTWAREONE HLDG AG,Pink Limited,19.050100,,7,Foreign Ordinary Shares,,
SWPFF,SWIRE PROPERTIES LTD ORD,Pink Current,2.465000,,0,Foreign Ordinary Shares,China,Hong Kong
SWPLY,SWIRE PROPERTIS UNSP/ADR,Pink Current,0.000000,,0,ADRs,China,Hong Kong
SWPMY,SWISS PRIME SITE AG S/ADR,Pink Limited,0.000000,,0,ADRs,Switzerland,
SWPPF,SWOOP HOLDINGS LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,,
SWPRF,SWISS PRIME SITE AG,Pink Limited,89.025000,,81,Foreign Ordinary Shares,Switzerland,
SWRAF,SWIRE PACIFIC LTD A,Pink Current,7.560000,,0,Foreign Ordinary Shares,China,
SWRAY,SWIRE PAC LTD A S/ADR,Pink Current,7.700000,0.130000,33139,ADRs,China,
SWRBF,SWIRE PACIFIC LTD B ORD,Pink Current,1.120000,,0,Foreign Ordinary Shares,China,
SWRBY,SWIRE PACIFIC LTD B S/ADR,Pink Current,6.230000,,7,ADRs,China,
SWRHF,SHIBUSAWA WAREHOUSE CO,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
SWRM,APPSWARM INC,Pink Current,0.000900,0.000000,1364550,Common Stock,USA,Oklahoma
SWSDF,SWISS LIFE HOLDING AG,Pink Limited,570.250000,-1.868800,1,Foreign Ordinary Shares,Switzerland,
SWSSF,SWISS WTR DECAF COFFEE,Pink Current,2.036400,,0,Foreign Ordinary Shares,Canada,British Columbia
SWYBY,SANOMA CORP UNSP/ADR,Pink Limited,2.460000,,0,ADRs,,
SWZCF,SWISSCOM AG ITTIGEN R/SHS,Pink Current,614.700000,-0.854800,202,Foreign Ordinary Shares,Switzerland,
SXGDF,SOUTHERN CROSS GOLD LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Australia,Victoria
